Sample AF(wine),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
60,red,red,"3,07","0,273152228232058","4,35138740786552","3,32218300516275","5,13338473831382","0,642878892548583",0,0,"0,661952773560718","8,77259373650453","1,18264368822835","105,803679244731","13,3422041922738","13,4057674781728","13,3739858352233","13,7229862721227","0,661952773560718","115,758916669464"
62,red,green,"3,41","0,221386353601934","1,26504230355658","3,81609844655185","1,72709784089196","0,497737337731031",0,0,"0,0645772999445078","9,09011501909335","0,722818859350947","91,2240170574471","11,5036591497411","11,5584634657958","11,5310613077685","7,52736228233335","0,0645772999445078","101,036950935891"
63,red,green,"3,25","0,136369193888226","4,30167214132437","3,21913341238463","1,50216783038836","0,577230628977782",0,0,0,"8,16579488268665",0,"90,8477637580611","11,4562123276244","11,510790603373","11,4835014654987","9,73657320696337",0,"99,0135586407478"
68,red,red,"3,36","0,240072502240708","4,32287006979199","4,56404535990653","3,6211145233822","0,596533526285021",0,0,0,"7,37009314966426",0,"85,2968308646924","10,756220789999","10,8074642522797","10,7818425211394","13,3446359816065",0,"92,6669240143567"
71,red,red,"3,44","0,323531432245338","4,15620419142815","6,92130820055561","6,34915205656765","0,259156260362722","0,182419172162836","30,3543954250491","32,9561970722558","4,51496121576336",0,"51,4711166969179","6,49068306392407","6,52160517674191","6,50614412033299","18,173882679642","63,3105924973049","55,9860779126812"
74,red,red,"3,52","0,352693922251784","1,28751671524648","6,44382401586153","4,82270377615792","0,41580044989389",0,0,0,"7,82301525710684","1,57890309081605","90,7879130898813","11,4486649545878","11,5032072740714","11,4759361143296","13,3225388794116",0,"100,189831437804"
82,green,green,"3,46","0,0669934007998266","3,16538286218498","0,608498187637252","3,82768401935581","0,603001322042251",0,0,"2,69500928352609","9,86118985064609",0,"95,0362255820811","11,9843916244743","12,0414861869749","12,0129389057246","8,27155979202012","2,69500928352609","104,897415432727"
83,green,green,"3,33","0,0957059953042312","1,19856218024092","0,363686522139135","3,59409877814116","0,476085406551614",0,0,"1,37275737659567","9,1682343386637","0,764429277282729","93,5364127845224","11,7952601241516","11,8514536496531","11,8233568869024","5,72813888237707","1,37275737659567","103,469076400469"
85,red,red,"3,07","0,29724075714067","3,90049244651297","4,34294269569658","8,11883652786069","0,356649988682259",0,0,"0,492984500131398","8,01294603115173",0,"77,9173205164606","9,82563940938973","9,87244951047344","9,84904445993158","17,0161624158932","0,492984500131398","85,9302665476123"
86,red,red,"3,25","0,226144111029397","5,4377544060424","3,85171499248106","5,39946918778701","0,571447713893671",0,0,"0,413564719779874","9,84942915676638",0,"91,3266479049231","11,5166012490445","11,5714672222547","11,5440342356496","15,4865304112335","0,413564719779874","101,176077061689"
