Sample BF (must),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
172,red,green,"3,49","0,238948384383507","3,21322652198794","4,33387967726744","5,68792917551763",0,0,"82,2483707397761","85,2641280348273","0,862609075301467","1,41348377166614","4,72601931077645","0,595967126201318","0,598806359380728","0,597386742791023","13,4739837591565","167,512498774603","6,29537027191099"
176,red,red,"3,48","0,248464112280621","3,25670924344678","7,2721120230967","2,0065948621181",0,0,"65,4830204290324","64,1126249774056","2,27776359806558","5,90518509425284","12,5870488209591","1,58726971260518","1,59483158747138","1,59105065003828","12,7838802409422","129,595645406438","20,7699975132775"
179,green,green,"3,3","0,334361925940978","3,0894555223913","8,85379841276745","3,9100656817211","0,115243535860912","0,352044413494435","74,5804927871131","71,7812335576733","4,03883550097824","2,3423821243349","26,628135385729","3,35789853540089","3,37389582202233","3,36589717871161","16,5973477242457","146,361726344786","32,4317593466272"
183,green,green,"3,36","0,122822060898724","3,60259354292505","4,84036063321677","3,7321803757484",0,"0,340718135702426","75,5398624205305","79,5296823689971","4,17573553281469","5,69363742101828","19,5307114652387","2,46288921377537","2,47462260722197","2,46875591049867","12,6386747484914","155,069544789528","29,8532136678406"
184,red,green,"3,35","0,197893490723458","4,10274455307346","2,81489291982167","3,49484972615765",0,0,"91,6067515367944","92,5698371255201","1,34936956850093","3,14643590046515","5,93454323656547","0,748366108015822","0,751931381653929","0,750148744834875","10,6103806897762","184,176588662315","10,4303487055315"
197,red,green,"3,22","0,144526949594541","4,33544684242653","2,5442743228523","2,94458949539418",0,0,"68,8937686546423","74,5292564615117","0,361210165080942",0,"1,19278404154074","0,150414128819766","0,151130713286294","0,15077242105303","9,96883761026754","143,423025116154","1,55399420662169"
201,red,red,"3,41","0,248163314228301","3,39945192174265","6,62391441649862","6,87987491782775",0,0,"63,0858123508335","64,2513072078684","1,7623614209973","8,56713618613239","9,81106903173945","1,237209209551","1,24310336928431","1,24015628941765","17,1514045702973","127,337119558702","20,6262027539383"
205,red,red,"3,51","0,228974754492119","4,21219119232252","5,92813126339197","4,36727111458406",0,"0,139103962055106","82,9937629471786","87,4370731440599","1,60725291661843",0,"8,59828297514532","1,08427275853031","1,08943831726032","1,08685553789531","14,8061203058182","170,430836091239","10,2055358917638"
208,red,green,"3,14","0,273706900741255","2,42377639806575","7,32821528612055","6,52122600233997",0,0,"77,2372609760857","76,7203820239059","0,518600489159675",0,"1,62617659964799","0,205066406008574","0,20604335812275","0,205554882065662","16,5469245872675","153,957642999992","2,14477708880767"
212,green,green,"3,63","0,219560773305576","1,60676806450464","4,00738277204166","1,97828579971065",0,0,"103,218468912833","107,802866250809","0,827915200762342",0,"4,38762464393145","0,553294406548733","0,555930343613027","0,55461237508088","7,81199740956252","211,021335163641","5,2155398446938"
214,red,red,"3,33","0,281268007218671","5,47543395935131","5,94769026558494","4,26828883529938",0,0,"74,0687827234011","78,0527065195071","0,461613590805423",0,"2,67737317103693","0,337625872766322","0,339234348365128","0,338430110565725","15,9726810674543","152,121489242908","3,13898676184236"
215,red,red,"3,28","0,423539401720601","5,0170333665264","5,87446072274468","11,4089719535077",0,0,"85,2033145328451","86,3842940555284","0,623025087477225",0,"3,94311940589056","0,49724078258393","0,499609675876864","0,498425229230397","22,7240054444994","171,587608588373","4,56614449336779"
222,red,green,"3,28","0,265235214441109","1,91303351231853","8,27429124580183","3,98926412121216",0,0,"80,8418580561897","83,0364134136299","1,06968762944294",0,"4,95883224075211","0,625325629350834","0,628304728694961","0,626815179022897","14,4418240937736","163,87827146982","6,02851987019505"
225,red,green,"2,97","0,319455949189208","5,31352159393167","8,19358398941834","1,58876032587051",0,0,"47,0663925660066","49,9674650610166","0,204741331693913",0,"0,593601066628517","0,074855115589977","0,0752117311120213","0,0750334233509991","15,4153218584097","97,0338576270231","0,79834239832243"
DG-091,red,green,"3,58","0,178741758774898","1,67844990160911","2,71751163436454","1,94691089860824","0,678987398923195",0,0,"0,462766281314874","9,58706080235123","0,761953281873357","101,889653273035","12,8486321907988","12,90984406176","12,8792381262794","7,20060159227998","0,462766281314874","112,238667357259"
G1-7720,red,green,"3,36","0,127444072510179","3,66145180817875","1,57751073748508","2,24353590433711",0,"0,195937673176876","80,0189113817684","88,0041854923273","0,590535805852396",0,"1,9779811611633","0,249430159036986","0,250618463479208","0,250024311258097","7,805880195688","168,023096874096","2,5685169670157"
